image,generated_caption
4888497463.jpg,three men in orange robes are standing outside of a house.
4890093788.jpg,a woman in a white dress is walking by a building.
4892334228.jpg,a woman in a white shirt is holding a bike in front of a red wall.
4894872733.jpg,a man sits on a bench in front of a food cart.
4895169883.jpg,a group of people dancing on a sidewalk.
4896595765.jpg,a group of people are sitting at a table outside.
4898790718.jpg,a man with a beard and a plaid shirt is standing on a ledge overlooking the water.
4899353764.jpg,a woman in a purple dress and sunglasses is talking to a man in a black suit.
4902104884.jpg,two older men in swimwear walk through water.
4904199439.jpg,a man in a blue shirt and white helmet is working on a piece of metal.
4906053377.jpg,a man taking a picture of a woman in a white dress and tan shoes.
4906688039.jpg,a man in a blue shirt and blue pants is kneeling down in front of a store that has various
4912928858.jpg,a group of men in suits are standing on a sidewalk.
491405109.jpg,a little girl is laying down under a blanket.
4920897810.jpg,a man and a woman are standing next to a bicycle on a stand.
4922641559.jpg,a woman in an orange shirt is sitting on a red bench and is holding a blue pacifier.
4922687043.jpg,a man is walking past a building with a large painting of a tiger.
4923916404.jpg,a man with a beard and a hat is walking in front of a wall with a yellow pattern.
4928961144.jpg,a large group of people in white and yellow outfits are marching in a stadium.
4930631660.jpg,two women sitting on a bench with a laptop.
4930663116.jpg,two men are playing table tennis.
4930690081.jpg,"a man in a cowboy hat is riding a horse, while a cow is running behind him."
4931722021.jpg,a group of people are playing a game of checkers.
4934376497.jpg,a man with a suitcase is waiting at a crosswalk.
49351137.jpg,two asian people are working together to make a basket.
4938469951.jpg,people are walking up and down an escalator.
4938806113.jpg,a group of people dressed in white and red are standing in a circle.
4939704849.jpg,two people are standing on a bridge overlooking a city.
4940542054.jpg,a man sits at a table outside a yellow truck.
4941007356.jpg,a group of people in red and blue outfits are walking down the street.
4942452239.jpg,a man in a blue shirt and suspenders is walking down the street.
4945259269.jpg,two people in yellow hoodies are standing on a street corner.
4948440838.jpg,a woman in a white shirt and jean shorts is taking a picture of a green bus.
4951904588.jpg,two girls dressed in red and white with polka dots holding red umbrellas.
4954417902.jpg,a man is standing next to a motorcycle on a busy street.
4958327803.jpg,a woman in a white dress is dancing in a garden.
496005787.jpg,a woman in a black outfit is standing in front of a table with food on it.
496129405.jpg,two dogs fighting in the grass.
4964794183.jpg,a group of people are standing together.
4965081213.jpg,a man in a costume is playing with a girl in a skirt.
4965437220.jpg,two women are running a race.
4968012871.jpg,a woman in a white dress holding a rooster.
4969460165.jpg,a group of young men playing basketball in front of a large ferris.
4971580944.jpg,a woman in black is bending over to pick up a jacket.
4972166251.jpg,a person is parasailing in the sky.
4978966549.jpg,a woman in a black jacket is standing in front of a table with flowers and wine.
4981040278.jpg,an older man is working on a piece of metal.
4981372732.jpg,a man sitting on a bench next to a wall with a mural of a ship and two bikes.
4981855124.jpg,a young boy peers out from a hole in a wooden structure.
4984199246.jpg,an old man is standing outside and is holding a piece of cloth in his hands.
4984321837.jpg,a person is climbing a rock.
4988974320.jpg,a woman in a white shirt is sitting and working on a vase.
499511476.jpg,a group of people in graduation gowns are standing in front of a podium.
5005064997.jpg,a woman in a blue dress and black hat is holding a white object above her head while a man
5006965263.jpg,a line of people in a line.
501684722.jpg,two girls are hugging and laughing.
5024063793.jpg,a man wearing a red shirt and a bandanna is pouring something out of a can.
502760780.jpg,a man in a striped shirt is holding a yellow toy.
5037602166.jpg,a man is standing on a hay bale while two horses are pulling a hay bale.
503794526.jpg,a young boy is swinging on a tree branch.
503857941.jpg,a young boy is crying outside.
505222650.jpg,two women are decorating a cake with yellow gloves.
5069106250.jpg,a woman in a black shirt is working on a project with a soldering tool.
508929192.jpg,two young boys playing with a toy and a stick.
509987636.jpg,a man in a red and white shirt and hat is sitting in front of pictures.
5103669984.jpg,a man with a beard and a woman with pink hair are sitting at a desk in front of a
512306469.jpg,a young boy wearing a blue shirt and a white hat with black spots on it.
512309690.jpg,a woman in a white dress is playing a musical instrument.
512634877.jpg,a brown dog is running with a red ball.
5140330069.jpg,a group of people are walking through a crowd of people with orange shirts and holding sparklers.
51565199.jpg,a man in a blue shirt is cutting a man ' s hair with a red machine.
5163589087.jpg,a group of men dancing and singing.
516360813.jpg,a man and two children are sitting at a table with a bucket of peanuts.
51712388.jpg,two women are racing in a race while a police officer watches.
517516106.jpg,a man in an orange shirt is working on a project.
5181864944.jpg,a girl is riding a water tube.
5192505155.jpg,a man in a black shirt and red scarf is standing on stage.
5196647928.jpg,a snowboarder in midair.
522652105.jpg,a young girl is laying in a ball pit.
522700240.jpg,a dog is laying down under a blue blanket.
5230968.jpg,a boy is running in front of a statue.
525968880.jpg,a dog is outside and is rubbing his nose.
5261346652.jpg,a man in a safety vest is cutting a large rock.
52886928.jpg,three men are playing a board game.
5301071699.jpg,a group of people are sitting at a table with food.
530661899.jpg,two people walking on a path with mountains in the background.
5318400439.jpg,a group of ballerinas are performing a dance routine.
532241548.jpg,a group of people are standing on a bridge with umbrellas.
532396029.jpg,a little blond girl is playing in a puddle of mud.
532457586.jpg,a man and a woman are sitting on benches with a dog.
532914728.jpg,a young boy is sliding down a blue slide.
5337047043.jpg,a young girl is sitting in a red bicycle in a grocery store.
5338568818.jpg,a person in a red jacket is sitting in the snow with a child in a red jacket and a
534875358.jpg,a woman in a green shirt and jeans walking down the street.
535179217.jpg,a group of people are standing on a dock near a river.
5371247136.jpg,two people in pink coats are standing on a deck of a ship.
5381104643.jpg,a woman in a purple shirt is spinning a string on a spinning machine.
5389902618.jpg,a girl in a blue dress is standing in front of a large group of people.
5403369219.jpg,a young girl in a green shirt and blue skirt is playing with a ball in a field.
5415181095.jpg,a man carrying a baby in a sling is holding a toddler in a sling.
54185885.jpg,a man in a brown jacket is holding his head with his hands.
5457524513.jpg,a woman in a purple shirt is laying down with a backpack behind her.
5468460528.jpg,a woman in a gray jacket is looking through a large telescope.
5535626115.jpg,a man in a white shirt and green vest is hammering a wooden mallet.
5565570899.jpg,a girl in a pink and green outfit is jumping through the air with a hoop.
5584269779.jpg,a woman in a red shirt is riding a white horse.
5589601689.jpg,someone is writing music on a sheet with a pencil.
561199893.jpg,a man in a black shirt plays a guitar on stage.
5613922717.jpg,a construction worker is sitting on a ledge.
5615077255.jpg,a group of young people are sitting on the floor and making a blue and yellow sign.
561906323.jpg,a man in a black shirt is pointing at a man in a white shirt who is holding a plant
5621600104.jpg,a man in a red uniform is kicking a soccer ball.
5626622789.jpg,a man and a woman are performing a dance on a purple mat.
5633096756.jpg,a woman in a red helmet is jumping on a blue mat.
5672704774.jpg,two young girls are standing against a brick wall.
5687357997.jpg,a policeman on a motorcycle stops at a traffic stop.
570999731.jpg,three men in bright yellow shirts are walking next to a garbage truck.
5730196560.jpg,a baseball player slides into home plate while the catcher is sliding into base.
5737435305.jpg,a group of people are watching a man in a blue shirt and black pants do a dance move.
5748024681.jpg,a man in a blue shirt is jumping his bike over a jump.
5780791171.jpg,a woman in a white hat is holding a purple and white plaid fabric.
5797756884.jpg,a man plays a guitar outside of a store.
5821273816.jpg,a woman in flannel pajamas is playing a guitar.
5823012892.jpg,a woman and a young boy are playing with a table full of toys.
5852468422.jpg,a young girl in a white shirt and blue jeans is dancing in front of a choir.
5867606.jpg,a man in a gray shirt is working on a project.
5880786104.jpg,a woman in a floral dress is playing guitar and singing while a man plays guitar.
5903545909.jpg,a baseball player in midair after a pitch
5918840.jpg,a man in a white and blue shirt is trying to hold on to a black bull.
5921628407.jpg,two women sit on a bus.
5929638308.jpg,a man in jeans is bent over and working on a piano.
5949201274.jpg,a young girl in a colorful gymnastics outfit holds a baton.
5950363786.jpg,a female gymnast is performing a flip on the floor.
5971671598.jpg,a swimmer in a red swimsuit is covering his face with goggles.
599235529.jpg,a man and woman are sitting on a bench.
5995194617.jpg,a group of people are sitting on the shore of a harbor.
6005955072.jpg,a man in a white shirt plays a trumpet.
6012829906.jpg,a man in a bikini is standing in water.
610825957.jpg,a soccer game is played in a stadium full of people.
611910909.jpg,a blond woman is sitting in a tree.
6135587407.jpg,three men are riding bicycles on a track.
6139525250.jpg,a football player in a gold uniform is standing with his arms behind his back.
6141698120.jpg,a woman in a brown shirt and blue gloves is doing a science experiment.
6144531701.jpg,a man is playing guitar and singing.
6144893265.jpg,a skateboarder is doing a trick on a ramp.
614590366.jpg,a woman is playing a guitar and another woman is sitting on the ground.
6187182623.jpg,a baseball player swings his bat at a pitch.
6190349317.jpg,a man is working in a barn.
619169586.jpg,a man stands on a cliff overlooking a valley.
6209169496.jpg,a man is watching a hawk eat from a man ' s arm.
6218721441.jpg,two girls are riding a swing set.
6235436806.jpg,two women are fighting in a martial arts competition.
624742559.jpg,a young boy is climbing on a jungle gym.
626955661.jpg,a man in a white shirt is playing a card game.
6303553615.jpg,a water polo player in a yellow ball is in the water.
6337872636.jpg,a choir of women wearing black dresses are singing in unison.
6338098558.jpg,a woman in a dress is dancing with a man on stilts.
6341181416.jpg,a football player in a blue and gold uniform is running with the ball.
636225587.jpg,a man is playing guitar and singing.
6364640471.jpg,a teacher reads a book to a class of children.
6377636101.jpg,a man in a blue and yellow kayak is in the middle of a rapid white river.
6400126225.jpg,two people in red and white outfits are performing a dance on a white floor.
640028992.jpg,a man is reading a book on a bridge in the woods.
6413464907.jpg,a man in a helmet skateboards down a street.
6458025621.jpg,a person in a green shirt and black pants is riding a bike in the air.
6536482681.jpg,a rugby player is tackled by two opposing players.
6571757523.jpg,two young men are running in a race.
65757777.jpg,a man and a woman are standing on a tree while a dog is walking by.
6650775357.jpg,a skateboarder is jumping over a box.
6704385305.jpg,a hockey player in a blue uniform is skating on the ice.
670609997.jpg,a black dog jumps up in the air to catch a ball.
6775386430.jpg,a young boy is drawing with colored pencils.
6776555426.jpg,a hockey game is played in a hockey arena.
6784757122.jpg,a woman in a black jacket and helmet is riding a gray horse.
6787698771.jpg,three men are playing guitar and singing on stage.
6798727809.jpg,a man in a white shirt is looking through a microscope in a green house.
6834478325.jpg,a group of men practicing martial arts in a gym.
6834506532.jpg,three people are diving in the ocean.
6845394024.jpg,a young boy is brushing his teeth in the bathroom.
6845811278.jpg,a man with a blue laundry bag on his back.
6851802767.jpg,a woman in a black jacket is standing on a railing near a boat in the snow.
6859510611.jpg,two people in black uniforms are fighting in a martial arts competition.
6869365418.jpg,two boys and a girl are playing with a purple mat.
6871584239.jpg,a basketball player in a blue uniform is attempting to block a player in a white uniform.
6889307511.jpg,a man in a white karate uniform is standing in a martial arts class.
6889322961.jpg,a group of kids practicing karate in a martial arts class.
6893981593.jpg,a man in a yellow shirt and white shorts is working with metal.
6894721598.jpg,a group of people are sitting around a table with candles on it.
6906686416.jpg,a girl in a bathing suit is jumping into the water with a surfboard.
6916655550.jpg,a little girl in a pink sweater and blue shorts is holding a red purse.
6920532.jpg,a man in a black jacket is working on a project.
6921501861.jpg,a young girl in a blue shirt is working with wood.
6923722761.jpg,a young man is sitting in a brown chair.
6939568656.jpg,two men are playing field hockey.
6940278172.jpg,a man in blue and red is jumping over a high jump.
6953338290.jpg,a man in a blue shirt and black hat is reading a book under a tree.
6962651246.jpg,a baseball player swings at a pitch while the catcher and umpire look on.
6990611280.jpg,a man is riding a bicycle up a ramp.
6994934336.jpg,men in military uniforms are playing an accordion.
6998429556.jpg,two men are playing soccer while a crowd watches.
7004977742.jpg,a woman in a pink shirt is running a marathon.
7011012597.jpg,"a group of men are standing on a beach, with a large net in the foreground."
7024548595.jpg,a young girl is holding a small object.
70413244.jpg,two girls are playing soccer.
7062002269.jpg,a boy in a red shirt playing a game on a large screen television.
7072093185.jpg,a woman wearing blue gloves is helping a man in a gray jacket and blue gloves put some food on
7072093225.jpg,a man in a white shirt and blue shirt is standing in front of a television screen.
7096517911.jpg,two people are playing basketball.
7114922111.jpg,a man is riding a sailboat in the ocean.
7119442099.jpg,a girl in a yellow swimming cap and goggles is swimming in a pool.
7139154793.jpg,a group of horses and riders are racing each other.
7149127777.jpg,a man is doing a high jump in front of a crowd.
7150684289.jpg,two soccer players are standing on a field in front of a large crowd.
7151591119.jpg,a man on a motorcycle is riding down a dirt road.
7173096497.jpg,two women in purple dance in the woods.
7182849209.jpg,a surfer in a wetsuit is riding a wave.
7184912719.jpg,a person is parasailing under the golden gate of the bridge.
7187734520.jpg,a skateboarder is doing a trick on a cement ramp.
719837187.jpg,a wet dog is jumping up to catch a ball.
720208977.jpg,children playing in water fountains.
7202153106.jpg,a man in a yellow shirt and black shorts rides a bike down a road.
72090503.jpg,a man in a red shirt is pushing a stroller down the sidewalk while two people are walking by
7214830708.jpg,a group of cyclists are racing down the street.
7248245932.jpg,a group of runners are running a race.
7277129240.jpg,a group of children are playing a game of bowling.
7292785488.jpg,a young man in a blue shirt is jumping over a rail.
7309159954.jpg,a football player in a white jersey is about to throw the ball while the other players in white and
731443193.jpg,a rodeo rider is riding a bucking horse.
732001349.jpg,a man with a beard and a white shirt is sitting on a trail with a brown shoe in his
7344002226.jpg,a young boy in a blue shirt is mixing something in a bowl.
7375140234.jpg,a man in a black jacket and blue jeans is painting a blue and red rug.
7439117786.jpg,a man and a little girl are looking at a plate of food.
7500908384.jpg,a man is waiting for a train.
7502962058.jpg,a man in a white shirt and white pants is dancing in front of a crowd of people.
7520893644.jpg,a man is surfing in a river.
7591663030.jpg,a man on a motorcycle is riding past a pile of junk.
7594999748.jpg,two men are jumping in the air to catch a frisbee.
7602525254.jpg,a man and a young boy are sitting on the ground next to a stroller.
763115175.jpg,a woman reads a book to three children.
7636805298.jpg,a woman is riding a sailboat.
7663002978.jpg,a crowd of people are gathered outside a building.
7692621468.jpg,a woman on a horse jumping over a fence.
7723147862.jpg,a person is parasailing in a lake with mountains in the background.
7724191016.jpg,a baseball player in a yellow jersey is tagged by a player in a gray jersey who is wearing a
7726370800.jpg,two men are singing into microphones.
7729602624.jpg,a woman wearing a green and white shirt and sunglasses is running.
7832183018.jpg,four men in orange vests are paddling in a river.
7888948740.jpg,a man and a woman are dancing together.
7945794766.jpg,a man in a blue shirt and black shorts is walking on a tight rope.
7965514148.jpg,two women holding trophies.
7974531210.jpg,a man on a dirt bike is riding on a dirt path.
7979042317.jpg,a group of asian people are sitting at a table.
7989148541.jpg,a person on a dirt bike is riding around a corner.
8046655694.jpg,a baby is being held by a woman.
8095244723.jpg,a swimmer in a white cap and black swimming cap is swimming in a pool.
8101964841.jpg,a person paraglides over the ocean.
8109932996.jpg,a man with long curly hair and a beard plays a keyboard and sings while another man with a hat
8112722587.jpg,a man in a white shirt and blue shorts is playing tennis.
8169920396.jpg,a man in a denim shirt plays a guitar.
8183834568.jpg,a man in a wheelchair is laughing.
8189395281.jpg,a woman in a gray shirt and black tights is rollerblading.
8198726446.jpg,a basketball player in black is attempting to dunk the ball.
8205105666.jpg,a man in a black robe is standing with his hands on his hips.
8206921.jpg,a woman with red - hair and a blue apron is sitting in front of a painting.
8209386413.jpg,a man in a blue shirt is sitting on a rock overlooking a valley.
8245313425.jpg,a basketball player in a white uniform is running with the ball while being guarded by a player in a
85318252.jpg,a man is standing outside a doorway holding a bundle of straw.
856985136.jpg,a woman is reaching for a waterfall.
860060733.jpg,a shirtless man is sitting down and holding a bucket.
86120569.jpg,a man in a white shirt is decorating a white wedding cake.
878355466.jpg,two young girls playing table tennis.
878758390.jpg,a white dog is running on the beach.
90093157.jpg,a man is walking out of a building.
93270842.jpg,a man in a white suit is sitting on a bench.
947664583.jpg,a young girl jumps into a pool with two red buckets in her hand.
95021247.jpg,a man is working on a large piece of wool.
954987350.jpg,a woman in a pink shirt is holding a drink and looking up.
961664774.jpg,a group of young people in blue uniforms are walking in a line.
976639041.jpg,a man in a blue shirt is sitting at a desk with his feet on a computer.
981727078.jpg,people are standing in a public transit area with a city skyline in the background.
98415168.jpg,a policeman is checking the traffic.
9950858.jpg,a man holding a sign is standing in the middle of a street with a group of people riding horses
10010052.jpg,a woman in a blue shirt and rollerskates talks on her cellphone.
1003163366.jpg,a man is laying on a bench with a dog.
10090841.jpg,a man with a mustache is sitting at a table with a beer.
1009434119.jpg,a black and white dog is running through the grass.
1009692167.jpg,a policeman is standing with his dog.
1012150929.jpg,a young boy plays a gamecube at mcdonald ' s.
1021293940.jpg,two men hiking in the snow.
102351840.jpg,a man in a black coat is drilling a hole in the ice.
1026792563.jpg,a group of people are standing around a bunch of vegetables.
102860573.jpg,construction workers working on a street.
1035392784.jpg,a man with long hair plays a black guitar.
1047921035.jpg,"a man and a woman are standing in the woods, one is holding a brush and the other is"
104835889.jpg,a man in a black martial arts uniform is holding a sword.
105077209.jpg,a security guard is standing in front of a white wall.
1067180831.jpg,a black and white dog jumps up to catch a purple toy.
1068427675.jpg,a man in a black shirt is bowling at a bowling alley.
107969134.jpg,a woman is holding a baby.
107985741.jpg,a group of people sitting on the grass near the water.
1082379191.jpg,a man and a woman sitting on a dock.
1088767354.jpg,a woman in a red costume is standing on the sidewalk.
1089181217.jpg,a brown dog is running down a paved path.
108970557.jpg,a woman in a lavender dress sits in a chair.
1093737381.jpg,a woman in a blue dress is standing in front of a chalk drawing of two children playing in the
10956999.jpg,two men grilling on a grill.
109823397.jpg,a man is riding a four - wheeler in the air over a cornfield.
1099034049.jpg,a woman in a bikini is sitting on the beach.
110613709.jpg,a man in a blue shirt is holding something in his right hand and looking at something in his left
110983128.jpg,a man in a red apron and baseball cap sits on a step.
111069375.jpg,two men are performing a fire show in front of a crowd.
111671162.jpg,a group of people are sitting at a table in a restaurant.
1118168796.jpg,a man in a black vest is looking through a telescope at a campsite.
1131155939.jpg,a black dog is running on the beach with seaweed in the foreground.
1136497229.jpg,a woman is helping a child brush his teeth.
114368470.jpg,a young boy is waiting at the checkout counter at a grocery store.
1143882946.jpg,a woman with a blue vest and helmet is walking with a bicycle.
1149286224.jpg,a shirtless man is standing on a scaffolding.
1151321278.jpg,a young boy in red and blue shorts is standing on the beach with a blue pail and a
1154080132.jpg,three young boys are fishing off a dock.
1157215900.jpg,a woman is selling bread from baskets.
1158897994.jpg,a man in a hat and blue jeans is sweeping a blue pool.
1163282319.jpg,a little girl in a red shirt and yellow flip - flops sits on a rock.
1164131282.jpg,two dogs are playing in a field.
116450583.jpg,a man in an orange vest is kneeling on the train tracks while working on a train.
11808546.jpg,a young boy is standing in a field with a goose.
1186603607.jpg,a group of people walking through the woods.
122156386.jpg,people walking through the snow near a bridge.
12238723.jpg,a man with sunglasses playing a guitar.
12243003.jpg,a man is playing guitar while three other people sit on a bench.
1225687681.jpg,a man in a gray shirt is operating a sound mixing board.
122634567.jpg,a woman with a striped shirt is looking at a cellphone.
1240297429.jpg,a dog wearing a jersey is in the air with a bird in the background.
1244485675.jpg,a young boy looking at a reflection.
1245194315.jpg,a man and a woman are standing in front of a store window.
124534466.jpg,a woman in a blue jacket is reaching out for a boy in a black jacket.
124972799.jpg,a cat and a dog are playing under a bench.
1250181412.jpg,a group of people riding mountain bikes through a forest.
1250845715.jpg,"two women are sitting on a mat, one is playing guitar and the other is drinking beer."
1251898514.jpg,two men in yellow jackets are riding in a wooden boat.
1255846277.jpg,a green tractor is driving through a field.
126438084.jpg,a man in a white tank top and white pants is sitting in front of a variety of vegetables.
1269021329.jpg,a woman in a lab is examining something.
12736326.jpg,a woman in a blue shirt is cutting a watermelon.
1278818225.jpg,a man with a metal detector walks on the beach.
1279422342.jpg,a young boy is holding a strange plant.
1281282435.jpg,three boys are standing on a wooden bridge over water.
128395625.jpg,two people are riding bikes in front of a building.
1290525613.jpg,two young boys stand in front of a pile of garbage.
1290894194.jpg,a woman in a red top is petting a small dog.
1292715668.jpg,a woman in a black burqa walks with a man in a white shirt.
1295698260.jpg,a crowd of people are standing and taking pictures.
1296395998.jpg,a group of asian people are working in a food court.
1296770308.jpg,a woman sitting on a bar stool.
129846884.jpg,a young boy is pulling a toy car on a grassy hill.
1299459562.jpg,three boys play in the water.
129978192.jpg,a woman is sitting down and spinning a wool into a ball.
1303157527.jpg,a man in a red apron and white hat is standing in front of a food cart on the sidewalk
131122346.jpg,a group of people are standing around a table preparing food.
1311388430.jpg,a person hanging upside down from a telephone pole.
131632409.jpg,a woman in a bikini top is standing on a beach.
1330645772.jpg,a black dog is running through a field.
13341510.jpg,a man in a red shirt and black pants is doing a dance move.
133456953.jpg,a woman is doing a handstand on a balance beam on a sandy beach.
1335877186.jpg,a man with a blue backpack is reading the paper while waiting for a subway.
1335877200.jpg,a crowd of people are waiting for a train.
1346529555.jpg,a dog jumps in the grass with a red ball in its mouth.
134894450.jpg,a shirtless man jumps in the air in a forest.
1348957576.jpg,a man and a woman are sitting on the ground next to boats.
1349095760.jpg,a young boy in blue playing in the surf.
1350936809.jpg,a man is sitting on a step.
1351939717.jpg,a group of people are sitting at a picnic table under a tent.
135200870.jpg,a young girl in a pink shirt is mixing eggs in a bowl.
1362851262.jpg,a man is sitting on a rock with a white bear.
1363343745.jpg,a family is standing on the beach with a jet ski.
136391987.jpg,three women walking down the street.
1364148789.jpg,a man in a black shirt and jeans is leaning on a traffic cone.
1377428277.jpg,a man with a red umbrella is standing next to a woman with a baby in a stroller.
1379026456.jpg,a man with headphones is looking at a computer.
138043357.jpg,a man with a beard plays a banjo.
1386207171.jpg,a man in a red helmet is riding a bike.
1391386453.jpg,a man in a military uniform is standing in a museum.
139165197.jpg,a man is cutting open a bunch of green coconuts.
1394239063.jpg,three people are walking up a hill.
1394673080.jpg,mimes in black and white playing tug - of - war with a white dog.
1395173766.jpg,a group of women in black dresses are playing music outdoors.
139539078.jpg,two men sitting on the roof of a school bus.
1401324296.jpg,two women are standing on a boat.
1402489103.jpg,a woman in a blue uniform is taking pictures.
1402641725.jpg,four children are sliding down a sand dune.
1402843760.jpg,a white dog is standing in the grass.
140377584.jpg,a man in a orange helmet is rock climbing.
140526326.jpg,a man is rock - climbing overlooking a city.
140526327.jpg,a man in a white shirt and red helmet is rock climbing.
1410039760.jpg,a man in a brown suit jacket is holding a small object.
141213544.jpg,two women and a baby in a stroller in a store.
1414412467.jpg,a man in a white shirt and a woman in a green shirt are signing books at a table.
1414520123.jpg,a group of chefs are standing behind a table full of cupcakes.
141559699.jpg,a young boy in an orange shirt is standing on top of a bed while a little girl in a
1417295167.jpg,a man in a black hoodie is holding a drink and looking at his cellphone.
141755290.jpg,a woman in a red jacket is standing in front of a table with a juice press and a sign
141841337.jpg,a man in a gray sweatshirt is sitting down and touching his feet.
142117251.jpg,an old woman blows out the candles on her 90th birthday.
14220927.jpg,a man in a white shirt and blue jeans is working on a project in a building.
1424775129.jpg,a little boy in a red shirt is walking on railroad tracks.
1425366395.jpg,a man is petting a goat.
1427391496.jpg,a young boy in a black sweater and gray pants stands on a wooden dock.
1430154945.jpg,a woman is feeding a child at a table.
1433149277.jpg,people are walking around a food cart in a park.
1433154463.jpg,a man in a field with a baseball glove on his left hand and a baseball in his right hand
1433577867.jpg,a white dog is splashing in the water.
1434147314.jpg,a group of young people are standing around a table eating.
1435194718.jpg,three men grilling on a porch.
143793054.jpg,a man in an orange shirt and white hard hat is standing in front of a dump truck.
1454217779.jpg,a man is looking at a sculpture of a lizard.
1461329041.jpg,two women ride three wheeled bicycles on a beach.
1463072715.jpg,a young boy is playing a game of checkers with a woman in a green shirt.
1467533293.jpg,two young girls play on a playground.
1472433625.jpg,a man in a green shirt and blue jeans walks down a paved path.
1472511399.jpg,a woman sleeps in a chair.
147288810.jpg,a girl with glasses is sitting at a table with drinks.
1476241331.jpg,two young boys are standing near a water fountain.
1478606153.jpg,a brown and white dog is running through the woods.
1482960952.jpg,three elderly women walking away from the camera.
14919212.jpg,a man in a white suit is operating a crane.
149388615.jpg,a group of people are waiting for a train.
1510078253.jpg,a brown dog is about to bite a ball with paw prints.
1512068441.jpg,a woman in a white shirt is talking to a group of people.
1512967800.jpg,a man in a blue hat and a boy in a white shirt are standing on a brick wall.
1516714577.jpg,a little girl in a pink skirt and white shirt is standing on a step.
1516839584.jpg,two women are eating at a table.
1518841737.jpg,a young boy sitting in a chair.
1523800748.jpg,two children run along a beach.
1558272464.jpg,a man with a tattoo on his arm is sitting on a motorcycle with a helmet on.
1563984945.jpg,a woman in blue pants bending over to pick up a child ' s food.
1568700473.jpg,a young boy wearing a red hat is taking a picture with a camera.
157245265.jpg,children rollerblading in a courtyard.
157308126.jpg,four swimmers are swimming in a pool.
157490554.jpg,a man in a red hat is rock climbing.
157557961.jpg,a man in a black shirt is pointing to a giant blackberry.
157747588.jpg,a man is running through a water fountain.
158093226.jpg,a man in a suit playing bagpipes next to a woman in a crop top.
15874606.jpg,a boy in a black shirt is swimming in a pool.
1589475284.jpg,four men are standing on the back of a garbage truck.
1592910015.jpg,a boy in a blue shirt and a green hat is climbing a fence.
1597557856.jpg,a woman in a skirt is playing with a dog.
160394722.jpg,a group of people are standing around a child who is playing with a map.
1605883315.jpg,three women are sitting on a train.
1626116016.jpg,a man in a green jacket holding a slow sign.
162967671.jpg,two men are sitting at a table with a slice of cake with a sparkler on top.
164954325.jpg,a young boy is combing his hair in front of a car.
1662261486.jpg,a dog jumping through a black and white hoop.
166321259.jpg,a man with long hair and a black shirt is walking down the street.
1663454406.jpg,a man holding a sign with a rainbow umbrella.
1663751778.jpg,a man is climbing a rock face.
1664475859.jpg,three men are walking in a courtyard.
16653104.jpg,a man in a black shirt is playing croquet.
166774567.jpg,a woman in a blue dress is sitting on a curb while a man in a black jacket walks by
167295035.jpg,a man in a blue shirt is rock climbing.
1674493314.jpg,a woman in a brown shirt and red skirt is making pots.
1678396864.jpg,a woman and a child are walking on a dock holding an umbrella.
1679557684.jpg,two dogs are playing with a ball in the yard.
1693120546.jpg,a woman in a blue sweater is sitting at a table with a bag in front of her.
169629403.jpg,a group of people in blue shirts are standing in a park.
16988097.jpg,a man in a suit and a woman in a blue shirt are sitting in chairs next to a fountain
170007535.jpg,a bride and groom are sitting in a car.
1700282068.jpg,two motorcycles parked in a parking lot.
170525064.jpg,a man in a military uniform is standing in a field with a dog.
170717653.jpg,a woman and a child are looking out of a train window.
17185253.jpg,four elderly women sitting on a bench.
172327171.jpg,a man with a guitar and a woman with a guitar are walking towards a large building.
173020287.jpg,a man is holding a stick to a dog jumping up.
1732217138.jpg,two people with dreadlocks sit on a bench.
173227546.jpg,a construction worker drilling a hole in the wall.
174236758.jpg,a woman with blue hair and a red tank top is painting a wall with bamboo.
1749702972.jpg,a hotdog vendor is selling hotdogs on a busy street.
175826463.jpg,a man in a red shirt and blue hat is digging in the sand with a shovel.
175973485.jpg,a group of people and a black dog are sleeping in a room.
177351658.jpg,a man in a black suit is holding a card with a picture of himself on it while standing in
177591612.jpg,two men are performing a dance move on the sidewalk.
178977151.jpg,three children are playing on a railing.
1791491934.jpg,a man in a blue shirt and camouflage pants is working with a machine.
179717373.jpg,two children are climbing a ladder to get to a plane.
180217379.jpg,a woman and a child are looking at a rooster in a cage.
1802509657.jpg,a man in a black shirt and jeans is jumping with a wooden sign.
180506881.jpg,two people walking down the street with their skateboards.
1805990081.jpg,a young boy is walking a white dog on a leash.
1809476783.jpg,a bride and groom are being pulled in a white carriage by a white horse.
181103691.jpg,kids playing in the street under a large sprinkler.
18119750.jpg,a woman in a green shirt is sitting on the grass and swinging a tennis racket at a ball
1817746886.jpg,a woman is sitting on a bed with her hands on her face.
1820795682.jpg,a cheerleader in a sparkly blue dress leaps into the air.
182184279.jpg,a waitress serving drinks to a man.
183390543.jpg,a man in a military uniform is playing a drum.
184256548.jpg,a man in a suit is talking on a cellphone.
184855171.jpg,a man in a white hat is sitting on a bucket with a fishing pole.
1850901757.jpg,a woman in a peach blouse is talking to a group of women.
1859941832.jpg,a dog is jumping up in the air to catch a frisbee.
186348874.jpg,a group of bicyclists are riding down a dirt road.
186890601.jpg,a man swinging on a rope over a lake.
1870425036.jpg,a man with a tattoo on his left arm is playing a guitar.
